Borough,Turnout2012,LAB2012,CON2012,Turnout2016,LAB2016,CON2016
Barking & Dagenham,46135,22718,10410,39307,20965,12006
Barnet,114626,39109,54580,105544,32051,57655
Bexley,75537,19383,36923,67804,17594,39040
Brent,92197,45623,26895,75883,39629,23855
Bromley,116007,28751,60510,102810,19926,65904
Camden,71515,35818,19142,64785,26303,25184
City of London,3501,1306,1402,3221,793,1758
Croydon,116696,46048,46794,100173,37300,46997
Ealing,116300,53907,35609,93123,41217,36291
Enfield,91455,41630,31439,79921,33670,34377
Greenwich,78095,35843,22532,63613,27870,23896
Hackney,78512,51502,9335,65876,38827,14387
Hammersmith & Fulham,59069,23116,23884,55435,16919,29765
Haringey,78990,46316,13630,67212,35729,17410
Harrow,85209,29520,40147,72811,27454,34922
Havering,80390,17092,41423,68044,15013,41316
Hillingdon,87344,28048,40728,73569,22868,40009
Hounslow,78754,33277,27779,62516,26403,26247
Islington,74492,44216,12443,62278,30166,18230
Kensington & Chelsea,39995,11013,21856,39224,7773,26624
Kingston upon Thames,59422,17174,27609,48024,11963,25849
Lambeth,99446,54896,20961,81358,39501,24580
Lewisham,86897,48664,16609,70233,35902,20197
Merton,73812,31682,27129,60338,22734,26819
Newham,83412,53094,14165,67547,47388,12139
Redbridge,92476,42619,33876,76019,33512,32285
Richmond upon Thames,78038,19773,41753,65956,13120,40084
Southwark,90712,48933,17255,79048,38832,23276
Sutton,67015,17916,29584,56146,13093,30742
Tower Hamlets,81719,48790,14217,64504,37003,16801
Waltham Forest,78742,41130,18563,67707,33941,21685
Wandsworth,113790,48609,45823,93692,28410,50541
Westminster,56809,21200,24750,55127,16049,31060
